Orgnummer; Name; Phone; Form; Bundet; BindningsTid
"MÖBELMAKARNA I BJÄRNUM, AB";"5566162078";" 0706988259";"Jobbmobil Multi 30 GB MFA";"Ja";"20210116"
"PROTETIKO, AB";"5569457517";" 0733509059";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220220"
"PROTETIKO, AB";"5569457517";" 0702288675";"Jobbmobil Multi 5 GB MFA Osub";"Ja";"20220220"
"SVE SOY, AB";"5591909014";" 0702236933";"Jobbmobil Bas MFA";"Nej";" "
"SPEECHLESS, AB";"5569279762";" 0730670576";"Telia Jobbmobil Multi 30 GB";"Ja";"20210328"
"SUSSA GOTT, AB";"5567727044";" 0762837023";"Jobbmobil 40 GB";"Ja";"20221031"
"TRADE INVENT, AB";"5569314551";" 0706304043";"Jobbmobil 15 GB";"Ja";"20220706"
"TRADE INVENT, AB";"5569314551";" 0730613412";"Jobbmobil 15 GB";"Ja";"20220706"
"WACHENFELDT MEDICAL ENTERPRISE, AB";"5590909437";" 0703216678";"Telia Jobbmobil Multi 30 GB";"Ja";"20211101"
"ÅRE ARKITEKT, AB";"5569781460";" 0708480507";"Jobbmobil 15 GB MFA";"Nej";" "
"ÅRE ARKITEKT, AB";"5569781460";" 0733707126";"Jobbmobil Obegränsad Osub MFA";"Ja";"20220721"
"ÅRE ARKITEKT, AB";"5569781460";" 0708480507";"Jobbmobil 15 GB MFA";"Nej";" "
"A BRODIN BYGG, AB";"5568270119";" 0706250425";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"ANDERS LINDBERG MUR & PLATTSÄTTNING, AB";"5568784523";" 0708803046";"Jobbmobil Multi 2 GB Osub";"Ja";"20210116"
"CAD DESIGN I KARLSTAD, AB";"5564464492";" 0705183498";"Jobbmobil Multi 20 GB TFA";"Ja";"20220720"
"EJ CONSULTING, AB";"5568550791";" 0722223462";"Jobbmobil Multi 30 GB MFA";"Ja";"20211104"
"EJ CONSULTING, AB";"5568550791";" 0708953555";"Jobbmobil Multi 10 GB MFA";"Ja";"20220204"
"EJ CONSULTING, AB";"5568550791";" 0733839620";"Jobbmobil Multi 60 GB MFA Osub";"Ja";"20221119"
"EJ CONSULTING, AB";"5568550791";" 0705778302";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"HOVGÅRDS TRANSPORT, AB";"5562892942";" 0702151460";"Jobbmobil Multi 10 GB Osub";"Ja";"20211119"
"ILLEMANN KONSULT, AB";"5569812661";" 0705135591";"Jobbmobil Multi 30 GB";"Nej";" "
"JR RYDÉN CONSULTING, AB";"5569526584";" 0708804696";"Telia Jobbmobil Multi 30 GB";"Ja";"20210207"
"KF KANHUD, AB";"5569665267";" 0703486820";"Jobbmobil Multi 10 GB Osub";"Ja";"20210417"
"KF KANHUD, AB";"5569665267";" 0703486820";"Jobbmobil Multi 10 GB Osub";"Ja";"20210417"
"LUNDMARKS MASKIN, AB";"5591945901";" 0705829857";"Jobbmobil Obegränsad";"Ja";"20210913"
"M.T. GLASMÄSTERI, AB";"5562362375";" 0706058199";"Jobbmobil Multi 10 GB MFA";"Ja";"20220126"
"M.T. GLASMÄSTERI, AB";"5562362375";" 0706058199";"Jobbmobil Multi 10 GB MFA";"Ja";"20220126"
"MANN KAN PROJEKTLEDNING, AB";"5591826739";" 0725654848";"Telia Jobbmobil Multi 10 GB";"Ja";"20220110"
"NATURLIGTVIS SALOMONSSONS, AB";"5563857936";" 0703810390";"Jobbmobil Multi 120 GB MFA";"Ja";"20220521"
"NATURLIGTVIS SALOMONSSONS, AB";"5563857936";" 0703810390";"Jobbmobil Multi 120 GB MFA";"Ja";"20220521"
"SOLFJÄDERN REDOVISNING, AB";"5568407299";" 0702455356";"Jobbmobil 40 GB";"Ja";"20210127"
"SVEJGÅRDS MEKANISKA VERKSTAD, AB";"5568370810";" 0703776075";"Jobbmobil Multi 120 GB MFA";"Ja";"20210401"
"SÄTERGÅRDENS MASKIN, AB";"5563789329";" 0702682090";"Jobbmobil Bas TFA";"Nej";" "
"SÄTERGÅRDENS MASKIN, AB";"5563789329";" 0703470831";"Jobbmobil Bas TFA";"Nej";" "
"TOMMY SÖDERGRENS BERGSPRÄNGNINGS, AB";"5562389519";" 0706797905";"Jobbmobil Multi 1 GB TFA";"Nej";" "
"URETAIL, AB";"5590429451";" 0706451364";"Telia Jobbmobil Multi 10 GB";"Ja";"20220129"
"ULTIRO, AB";"5591322325";" 0730446474";"Jobbmobil Obegränsad";"Ja";"20230720"
"ULTIRO, AB";"5591322325";" 0730335817";"Jobbmobil Obegränsad";"Ja";"20230720"
"ULTIRO, AB";"5591322325";" 0730469056";"Jobbmobil Obegränsad";"Ja";"20230720"
"ÖSTRA TORGGATANS THAIMASSAGE, AB";"5591631154";" 0722117048";"Telia Jobbmobil Multi 30 GB";"Ja";"20210327"
"BENGT RÅDMAN FASTIGHETSKONSULT, AB";"5568327760";" 0702293124";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210926"
"BENGT RÅDMAN FASTIGHETSKONSULT, AB";"5568327760";" 0702293124";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210926"
"COMRADE, AB";"5568824659";" 0705258369";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"HOLMGRENHOLM, AB";"5566846399";" 0706403370";"Telia Jobbmobil Multi 10 GB";"Ja";"20211217"
"JAN ANDERS MEKANIK KONSULT, AB";"5566743737";" 0705950042";"Jobbmobil Multi 30 GB";"Ja";"20220310"
"JAN ANDERS MEKANIK KONSULT, AB";"5566743737";" 0705950042";"Jobbmobil Multi 30 GB";"Ja";"20220310"
"LOGOPEDITJÄNST SVERIGE, AB";"5568071855";" 0702496612";"Telia Mobil 6 GB";"Ja";"20221104"
"RMO BYGG, AB";"5569098303";" 0706554444";"Jobbmobil Multi 30 GB MFA";"Ja";"20220116"
"STO STÄD, AB";"5567956411";" 0706727411";"Telia Kontantkort";"Nej";" "
"STO STÄD, AB";"5567956411";" 0706727415";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20201211"
"STO STÄD, AB";"5567956411";" 0707475651";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220909"
"STO STÄD, AB";"5567956411";" 0705877446";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20201211"
"SVENSSONS SKOGSLOGISTIK, AB";"5591011910";" 0708286848";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210820"
"FBW SÄBYHOLM, AB";"5591009989";" 0702890348";"Telia Jobbmobil Multi 60 GB";"Ja";"20210204"
"VATI OF SWEDEN, AB";"5591796692";" 0730842065";"Telia Jobbmobil Multi 30 GB";"Ja";"20210211"
"VENTILERA & MONTERA I UPPSALA, AB";"5591903033";" 0707725769";"Jobbmobil Multi 10 GB MFA";"Ja";"20210130"
"ZEAB ELPRODUKTER, S-E";"5562124023";" 0703704721";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"ÄNGELHOLMS GOLFRESTAURANG, AB";"5592046444";" 0709594090";"Telia Jobbmobil Multi 10 GB";"Ja";"20220227"
"MG-SERVICE, MATS GJERS, AB";"5564156239";" 0703974999";"Jobbmobil Obegränsad Osub MFA";"Ja";"20201219"
"AVAITEC, AB";"5567675763";" 0733841440";"Jobbmobil Multi 10 GB Osub";"Ja";"20210527"
"AVAITEC, AB";"5567675763";" 0763639946";"Telia Jobbmobil Multi 30 GB";"Ja";"20220127"
"BILLET COMMUNICATION, AB";"5591310429";" 0706815508";"Jobbmobil 15 GB";"Ja";"20211229"
"HÄGGEBORNS SKOGSTJÄNST, AB";"5591619472";" 0730578818";"Jobbmobil 25 GB";"Ja";"20220630"
"MAYOL STUDIO, AB";"5590282132";" 0737148728";"Jobbmobil 15 GB";"Ja";"20220502"
"MÄLARDALENS GRAVVÅRDAR, AB";"5563149755";" 0702633588";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"MÄLARDALENS GRAVVÅRDAR, AB";"5563149755";" 0704391987";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"MÄLARDALENS GRAVVÅRDAR, AB";"5563149755";" 0727406044";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"NYA MALMSTRÖM PLÅT OCH VENTILATION, AB";"5564753860";" 0705340696";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220406"
"Original Global Art, AB";"5566415971";" 0733925577";"Telia Jobbmobil Multi 30 GB";"Ja";"20210310"
"PÅVAGÅRDENS GRÄV- & ENTREPRENAD, AB";"5567305221";" 0706602091";"Jobbmobil Multi 2 GB Osub";"Ja";"20220430"
"QDC FÖRBÄTTRINGSKONSULT, AB";"5566927967";" 0703105481";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220220"
"TANTIVE, AB";"5567198089";" 0702130850";"Jobbmobil Multi 20 GB TFA";"Nej";" "
"THOMMY M VENT, AB";"5566478342";" 0706222181";"Jobbmobil Multi 10 GB Osub";"Ja";"20211123"
"VÄXTINREDNINGSGRUPPEN I ÖREBRO, AB";"5569272411";" 0704214900";"Jobbmobil Multi 10 GB MFA";"Ja";"20220210"
"VÄXTINREDNINGSGRUPPEN I ÖREBRO, AB";"5569272411";" 0704214900";"Jobbmobil Multi 10 GB MFA";"Ja";"20220210"
"ART PIPING I KALIX, AB";"5568451172";" 0705754825";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"CREATEWA, AB";"5569828147";" 0708159238";"Jobbmobil Multi 10 GB Osub";"Ja";"20211021"
"EBM FYNDUTBUDET, AB";"5568749807";" 0727348014";"Jobbmobil Multi 30 GB MFA";"Ja";"20220807"
"EBM FYNDUTBUDET, AB";"5568749807";" 0739301559";"Jobbmobil Multi 30 GB MFA";"Ja";"20220807"
"EBM FYNDUTBUDET, AB";"5568749807";" 0768334304";"Jobbmobil Multi 30 GB MFA";"Ja";"20220810"
"EBM FYNDUTBUDET, AB";"5568749807";" 0702821149";"Jobbmobil Multi 30 GB MFA";"Ja";"20220516"
"NIER, AB";"5590296371";" 0702165660";"Jobbmobil 3 GB";"Ja";"20220513"
"SMASAB, AB";"5568068695";" 0703793868";"Telia Jobbmobil Multi 30 GB";"Ja";"20210224"
"SOFIA JEMTHANS, AB";"5562599836";" 0705462519";"Jobbmobil 15 GB";"Ja";"20230515"
"SOFIA JEMTHANS, AB";"5562599836";" 0705462519";"Jobbmobil 15 GB";"Ja";"20230515"
"T. PERNIUS TRANSPORT, AB";"5569536237";" 0706344891";"Telia Mobil 30 GB";"Nej";" "
"ÖRJAN MAGNUSSON PSYKOLOGKONSULT, AB";"5567616890";" 0703330851";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"BERGSTRÖM WALÉN, AB";"5567681076";" 0708851243";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"CRAWFORD-CURRIE COMMUNICATION, AB";"5567443790";" 0703268833";"Jobbmobil Multi 10 GB MFA";"Ja";"20211103"
"DALA SAMREV REVISIONSBYRÅ, AB";"5563179232";" 0703146350";"Jobbmobil Multi 20 GB TFA";"Ja";"20210409"
"DALA SAMREV REVISIONSBYRÅ, AB";"5563179232";" 0703303524";"Jobbmobil Multi 20 GB TFA";"Ja";"20210628"
"DALA SAMREV REVISIONSBYRÅ, AB";"5563179232";" 0725371534";"Jobbmobil Multi 5 GB TFA";"Nej";" "
"MK BYGG I VÄST, AB";"5591495881";" 0706169109";"Jobbmobil 15 GB MFA";"Ja";"20230706"
"MAIFA, AB";"5569901266";" 0739823008";"Jobbmobil Multi 10 GB Osub";"Ja";"20210605"
"MALMFÄLTENS FÖRETAGSSERVICE, AB";"5591585004";" 0706111528";"Jobbmobil Multi 10 GB Osub";"Ja";"20220120"
"O2 KOMMUNIKATION, AB";"5569757221";" 0706770525";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"Phototeam i Linköping, AB";"5562907047";" 0705160075";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"Phototeam i Linköping, AB";"5562907047";" 0705160075";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"PRIVERO EKONOMI, AB";"5567096549";" 0738030522";"Jobbmobil Multi 30 GB MFA";"Ja";"20220621"
"PRIVERO EKONOMI, AB";"5567096549";" 0738030522";"Jobbmobil Multi 30 GB MFA";"Ja";"20220621"
"SIGN OFFICE SVERIGE, AB";"5567247563";" 0706811514";"Jobbmobil Multi 10 GB MFA";"Ja";"20211029"
"SPORTOPTIMA, AB";"5568549256";" 0705927067";"Jobbmobil Multi 1 GB TFA";"Ja";"20210710"
"T VIDBÄCKS ENTREPRENAD, AB";"5568920788";" 0706930230";"Jobbmobil Multi 5 GB";"Nej";" "
"T VIDBÄCKS ENTREPRENAD, AB";"5568920788";" 0706934444";"Jobbmobil Multi 50 GB";"Nej";" "
"TRICORDIA, AB";"5562453448";" 0706387810";"Jobbmobil Multi 1 GB TFA";"Nej";" "
"TRICORDIA, AB";"5562453448";" 0733450054";"Jobbmobil Multi 50 GB TFA";"Nej";" "
"WILLEGARD MARKNADSFÖRING, AB";"5569379224";" 0707666350";"Telia Jobbmobil Multi 30 GB";"Ja";"20220518"
"10-TEN GLOBAL MEDIA, AB";"5565455028";" 0708617636";"Jobbmobil Multi 120GB MFA Osub";"Ja";"20210310"
"10-TEN GLOBAL MEDIA, AB";"5565455028";" 0708780728";"Jobbmobil Multi 120GB MFA Osub";"Ja";"20210310"
"HELEN SOOVIK, AB";"5568752801";" 0704832132";"Jobbmobil Obegränsad";"Ja";"20211105"
"HELEN SOOVIK, AB";"5568752801";" 0704832132";"Jobbmobil Obegränsad";"Ja";"20211105"
"JOHAN LINDAHL, AB";"5590963541";" 0725716419";"Jobbmobil Multi 30 GB MFA";"Ja";"20211014"
"KRISTINEHAMNS BOKFÖRINGSBYRÅ, AB";"5561116293";" 0706192108";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210227"
"LEKANDERS GOURMET, AB";"5590578828";" 0704321840";"Telia Kontantkort";"Nej";" "
"MATS BRODIN FÖRVALTNING, AB";"5563697415";" 0705227840";"Telia Jobbmobil Multi 2 GB";"Nej";" "
"MATS BRODIN FÖRVALTNING, AB";"5563697415";" 0702127300";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"NRJ FASTIGHETSTEKNIK, AB";"5566763438";" 0702524267";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210904"
"ROCKRES, AB";"5568147226";" 0733781606";"Jobbmobil Obegränsad";"Nej";" "
"STEFAN EK FOTOGRAF, AB";"5565294237";" 0705841901";"Telia Jobbmobil Multi 10 GB";"Ja";"20211101"
"STEFAN EK FOTOGRAF, AB";"5565294237";" 0705841901";"Telia Jobbmobil Multi 10 GB";"Ja";"20211101"
"STIG BRANDT, AB";"5568775430";" 0705107972";"Jobbmobil Multi 2 GB Osub";"Ja";"20210827"
"THE POPPING COMPANY, AB";"5566796065";" 0708514949";"Jobbmobil Multi 120 GB MFA";"Ja";"20210526"
"THE POPPING COMPANY, AB";"5566796065";" 0708514940";"Jobbmobil Obegränsad MFA";"Ja";"20211219"
"ENK. FASTIGHETER, AB";"5566082581";" 0706408874";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"ENK. FASTIGHETER, AB";"5566082581";" 0705926204";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"ENK. FASTIGHETER, AB";"5566082581";" 0706408874";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"GELEANO, AB";"5563470334";" 0708402727";"Jobbmobil 40 GB";"Ja";"20220925"
"GELEANO, AB";"5563470334";" 0708802720";"Jobbmobil 40 GB";"Ja";"20220925"
"GETUNA KONSULT, AB";"5566228382";" 0706259012";"Telia Jobbmobil Multi 30 GB";"Ja";"20210320"
"GETUNA KONSULT, AB";"5566228382";" 0706259012";"Telia Jobbmobil Multi 30 GB";"Ja";"20210320"
"KPR PRESENT, AB";"5567263933";" 0707962522";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"KONSULTBYRÅN I SÖDERTÄLJE, AB";"5562672559";" 0705914015";"Jobbmobil Multi 30 GB MFA";"Ja";"20210402"
"KONSULTBYRÅN I SÖDERTÄLJE, AB";"5562672559";" 0708345424";"Jobbmobil Multi 30 GB MFA";"Ja";"20210402"
"KONSULTBYRÅN I SÖDERTÄLJE, AB";"5562672559";" 0705914015";"Jobbmobil Multi 30 GB MFA";"Ja";"20210402"
"LBA ELBESIKTNING, AB";"5564386414";" 0706244953";"Jobbmobil Multi 30 GB Osub";"Ja";"20211018"
"LBA ELBESIKTNING, AB";"5564386414";" 0706244953";"Jobbmobil Multi 30 GB Osub";"Ja";"20211018"
"LONES FAIR FASHION, AB";"5569265688";" 0702474655";"Jobbmobil Multi 5 GB MFA Osub";"Ja";"20210926"
"LONES FAIR FASHION, AB";"5569265688";" 0702474655";"Jobbmobil Multi 5 GB MFA Osub";"Ja";"20210926"
"MAKSI-SPRINKLER, AB";"5591535207";" 0701318976";"Jobbmobil Obegränsad MFA";"Ja";"20230616"
"MAMMUTHUS, AB";"5568400153";" 0705591765";"Telia Kontantkort";"Nej";" "
"MOMENT OF TRUTH, AB";"5566181367";" 0703500745";"Jobbmobil Multi 10 GB MFA";"Ja";"20220521"
"TORSEKE INGENJÖRSBYRÅ, AB";"5564120037";" 0706254540";"Jobbmobil Multi 10 GB MFA";"Ja";"20220411"
"DAHLSTRÖM OCH TORGNER, AB";"5563766319";" 0706423955";"Jobbmobil Multi 10 GB MFA";"Ja";"20201209"
"EKSTEDTS RÖRMONTAGE, AB";"5569097982";" 0727260210";"Telia Jobbmobil Multi 120 GB";"Ja";"20220107"
"KYLINSTALLATIONER RINHAMMAR & SON, AB";"5561806885";" 0706397773";"Telia Jobbmobil Bas";"Nej";" "
"LUDVIGSSON MOVEMENT, AB";"5569477200";" 0705804222";"Jobbmobil 40 GB Osub";"Ja";"20210123"
"SUNE PETTERSSON FINANS, AB";"5563812014";" 0730912614";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"SUNE PETTERSSON FINANS, AB";"5563812014";" 0730912614";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"RARUS, AB";"5591469696";" 0727202778";"Telia Jobbmobil Multi 30 GB";"Ja";"20210515"
"RESOLVATOR AB";"5562339761";" 0706916663";"Jobbmobil Multi 2 GB MFA";"Ja";"20220207"
"RESOLVATOR AB";"5562339761";" 0738142071";"Jobbmobil Bas MFA";"Ja";"20221119"
"RESOLVATOR AB";"5562339761";" 0738436736";"Jobbmobil Bas MFA";"Ja";"20221119"
"RESOLVATOR AB";"5562339761";" 0738446145";"Jobbmobil Bas MFA";"Ja";"20221119"
"SIFFERART, AB";"5566475298";" 0767952240";"Jobbmobil Multi 10 GB MFA";"Ja";"20220610"
"SIFFERART, AB";"5566475298";" 0767991213";"Jobbmobil Multi 10 GB MFA";"Ja";"20220610"
"ASON VÄRMEPUMPAR, AB";"5565433322";" 0733279570";"Jobbmobil Multi 1 GB TFA";"Ja";"20210404"
"EQDIS, AB";"5569777344";" 0706324207";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211014"
"EQDIS, AB";"5569777344";" 0706324207";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211014"
"KROKOMSPORTEN, AB";"5563586972";" 0705578884";"Telia Jobbmobil Multi 10 GB";"Ja";"20201210"
"MAGENDA EKONOMI & KONSULTATION, AB";"5566585625";" 0702510740";"Jobbmobil Multi 30 GB MFA";"Ja";"20210915"
"MAGENDA EKONOMI & KONSULTATION, AB";"5566585625";" 0702243775";"Jobbmobil Multi 30 GB MFA";"Ja";"20210317"
"MATS PALMBORG TAXI, AB";"5566396510";" 0706766100";"Telia Jobbmobil Multi 2 GB";"Ja";"20211128"
"MÄRSTA TAXAMETERSERVICE, AB";"5563447456";" 0706448022";"Jobbmobil Multi 2 GB MFA Osub";"Ja";"20220313"
"MÄRSTA TAXAMETERSERVICE, AB";"5563447456";" 0706329414";"Jobbmobil Multi 10 GB MFA";"Ja";"20210830"
"RED TOWER CONSULTING, AB";"5569894909";" 0709116484";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221110"
"RED TOWER CONSULTING, AB";"5569894909";" 0722428225";"Jobbmobil Bas MFA";"Ja";"20220820"
"SKADESERVICE VÄST, AB";"5590447891";" 0702758846";"Jobbmobil 15 GB Osub";"Ja";"20220609"
"STEFAN NIEMINEN,, AB";"5568832728";" 0703895317";"Telia Jobbmobil Multi 10 GB";"Ja";"20210520"
"CONEKEN EKENBERG CONSULTING, AB";"5590154141";" 0703422852";"Telia Jobbmobil Multi 10 GB";"Ja";"20211004"
"JURIDISK BYRÅ LINDHOLM & PARTNERS SKÅNE";"5591332407";" 0704548100";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"MY LAURELL, AB";"5565343182";" 0706522279";"Jobbmobil Multi 10 GB Osub";"Ja";"20210225"
"PA NORDÉN O CO, AB";"5565005310";" 0705643847";"Jobbmobil Multi 1 GB TFA";"Nej";" "
"PA NORDÉN O CO, AB";"5565005310";" 0706566043";"Jobbmobil Bas TFA";"Nej";" "
"PELLES PHOTO, AB";"5564156189";" 0705590160";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221130"
"PELLES PHOTO, AB";"5564156189";" 0705590160";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20221130"
"PESHANG ABDUL, AB";"5590106695";" 0739843040";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"PESHANG ABDUL, AB";"5590106695";" 0705597627";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"PLAGG & DESIGN I MÖLNDAL, AB";"5568771280";" 0703017451";"Jobbmobil Multi 30 GB MFA";"Ja";"20210712"
"RUSH NINE, AB";"5591906051";" 0767621064";"Jobbmobil Multi 10 GB Osub";"Ja";"20211021"
"VBR ENTREPRENAD, AB";"5568959695";" 0739837470";"Jobbmobil Obegränsad";"Ja";"20211031"
"ADDED BY C HR PARTNER, AB";"5591766695";" 0703172265";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"ADVOKAT PER ALLOCCO, AB";"5567570246";" 0704633120";"Jobbmobil 40 GB Osub MFA";"Ja";"20210213"
"BARKENHÄLSAN, AB";"5568547664";" 0706588286";"Jobbmobil Multi 30 GB MFA";"Ja";"20220222"
"BARKENHÄLSAN, AB";"5568547664";" 0705273701";"Jobbmobil Multi 2 GB MFA";"Nej";" "
"BENGT GUSTAVSSONS ÅKERI";"5563254837";" 0702438904";"Jobbmobil Mix";"Nej";" "
"BJ ENTREPRENAD & MASKINSERVICE AB";"5590590245";" 0730937453";"Jobbmobil 15 GB MFA";"Ja";"20231027"
"CECILIA KARLSTEDT CONSULTING, AB";"5566295688";" 0706176697";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210907"
"CECILIA KARLSTEDT CONSULTING, AB";"5566295688";" 0702235305";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210907"
"GOPROFESSIONAL SWEDEN, AB";"5569457723";" 0763183873";"Jobbmobil Obegränsad";"Ja";"20221126"
"GOPROFESSIONAL SWEDEN, AB";"5569457723";" 0735078174";"Jobbmobil 40 GB";"Ja";"20221123"
"FORM DESIGN SCANDINAVIA, AB";"5567349880";" 0761467671";"Jobbmobil Multi 20 GB TFA";"Ja";"20210307"
"FORM DESIGN SCANDINAVIA, AB";"5567349880";" 0761467671";"Jobbmobil Multi 20 GB TFA";"Ja";"20210307"
"FORM DESIGN SCANDINAVIA, AB";"5567349880";" 0761467671";"Jobbmobil Multi 20 GB TFA";"Ja";"20210307"
"HEDEMORA SLÄPVAGNSSERVICE, AB";"5565437539";" 0708776014";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20221126"
"HEDEMORA SLÄPVAGNSSERVICE, AB";"5565437539";" 0706213566";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210724"
"HEDEMORA SLÄPVAGNSSERVICE, AB";"5565437539";" 0708776014";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20221126"
"I.T.A.J. GROUP, AB";"5569906398";" 0736356740";"Telia Jobbmobil Multi 30 GB";"Ja";"20210210"
"I.T.A.J. GROUP, AB";"5569906398";" 0736356740";"Telia Jobbmobil Multi 30 GB";"Ja";"20210210"
"JH:S EL & STÄLLVERK I LINKÖPING, AB";"5591905236";" 0703825806";"Jobbmobil 40 GB MFA";"Ja";"20210227"
"JOCKES GOLV I ÖVIK, AB";"5568358609";" 0709398289";"Jobbmobil 120 GB MFA";"Ja";"20220701"
"KRISTOFER LÖNNÅ PRODUKTION, AB";"5568423221";" 0705550809";"Telia Jobbmobil Multi 10 GB";"Ja";"20210922"
"MAGGIE OCH LARS-INGE OLSSON, AB";"5563884609";" 0706650075";"Jobbmobil Obegränsad Osub";"Ja";"20220611"
"MARTIN ZETTERLUND, AB";"5569308785";" 0736400464";"Jobbmobil 15 GB";"Ja";"20221203"
"PROVALTOR, AB";"5591020812";" 0706676056";"Jobbmobil 25 GB MFA";"Ja";"20230525"
"SINKADUS HOLDING, AB";"5561276915";" 0706540340";"Jobbmobil Multi 20 GB TFA";"Nej";" "
"VVS-KONSULT KÖPING, AB";"5563010551";" 0706720915";"Jobbmobil Multi 10 GB MFA";"Ja";"20210717"
"BLUE M CONSULTING, AB";"5590585658";" 0705502345";"Jobbmobil 15 GB";"Ja";"20220622"
"BONBIO, AB";"5569094799";" 0730717912";"Jobbmobil Multi 5 GB";"Nej";" "
"BONBIO, AB";"5569094799";" 0761339711";"Jobbmobil Multi 5 GB";"Ja";"20210507"
"CAVALLIN MEDIA, AB";"5566620752";" 0706409358";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210628"
"CAVALLIN MEDIA, AB";"5566620752";" 0730619907";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210628"
"DIREKTÖR WIGG REKLAMBYRÅ, AB";"5567084628";" 0706523161";"Telia Jobbmobil Multi 30 GB";"Ja";"20211115"
"DIREKTÖR WIGG REKLAMBYRÅ, AB";"5567084628";" 0706523161";"Telia Jobbmobil Multi 30 GB";"Ja";"20211115"
"ECONIUM, AB";"5590033600";" 0706518125";"Jobbmobil Obegränsad";"Ja";"20220222"
"ECONIUM, AB";"5590033600";" 0706518125";"Jobbmobil Obegränsad";"Ja";"20220222"
"FJELLHELI, AB";"5591623565";" 0705572858";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"FOAM COMPANY, AB";"5567036487";" 0703137899";"Jobbmobil 15 GB MFA";"Ja";"20231006"
"GUNNAR LAURSEN, AB";"5561934091";" 0708380312";"Jobbmobil Multi 30 GB MFA Osub";"Nej";" "
"KLIPPAN TECHNOLOGY, AB";"5569683989";" 0709842008";"Jobbmobil 40 GB Osub MFA";"Ja";"20221130"
"KONFERENT, AB";"5566039326";" 0706630077";"Jobbmobil 15 GB MFA";"Ja";"20220911"
"KONFERENT, AB";"5566039326";" 0706630077";"Jobbmobil 15 GB MFA";"Ja";"20220911"
"KORRELAT LEGAL ENGLISH, AB";"5567676399";" 0702621245";"Jobbmobil Multi 30 GB Osub";"Ja";"20211101"
"KORRELAT LEGAL ENGLISH, AB";"5567676399";" 0702621245";"Jobbmobil Multi 30 GB Osub";"Ja";"20211101"
"LINDA ERLANDSSON TRAV OCH MEDIA, AB";"5566291778";" 0702305427";"Jobbmobil Multi 120 GB MFA";"Ja";"20210613"
"LINDA ERLANDSSON TRAV OCH MEDIA, AB";"5566291778";" 0702305427";"Jobbmobil Multi 120 GB MFA";"Ja";"20210613"
"LJUSGÅRDA AB (PUBL)";"5591135321";" 0704313492";"Jobbmobil 15 GB MFA";"Ja";"20221008"
"LUX LIKE, AB";"5568552359";" 0722231866";"Telia Jobbmobil Multi 30 GB";"Ja";"20210102"
"MATS JOHANSSON KONSULT, AB";"5569406787";" 0703101925";"Telia Jobbmobil Multi 10 GB";"Ja";"20220319"
